lambda,accuracy,cost
0.0,0.9333333333333333,0.00037831083333333336
0.5,0.9166666666666666,0.000280165
1.0,0.9166666666666666,0.000280165
1.5,0.9166666666666666,0.000280165
2.0,0.9166666666666666,0.000280165
2.5,0.9166666666666666,0.000280165
3.0,0.9166666666666666,0.000280165
3.5,0.9166666666666666,0.000280165
4.0,0.9166666666666666,0.000280165
4.5,0.9166666666666666,0.000280165
5.0,0.9166666666666666,0.000280165
5.5,0.9166666666666666,0.000280165
6.0,0.9166666666666666,0.000280165
6.5,0.9166666666666666,0.000280165
7.0,0.9166666666666666,0.000280165
7.5,0.9166666666666666,0.000280165
8.0,0.9166666666666666,0.000280165
8.5,0.9166666666666666,0.000280165
9.0,0.9166666666666666,0.000280165
9.5,0.9166666666666666,0.000280165
10.0,0.9166666666666666,0.000280165
15.0,0.9166666666666666,0.000280165
20.0,0.9166666666666666,0.000280165
25.0,0.9166666666666666,0.000280165
30.0,0.9166666666666666,0.000280165
35.0,0.9166666666666666,0.000280165
40.0,0.9166666666666666,0.000280165
45.0,0.9166666666666666,0.000280165
50.0,0.9166666666666666,0.000280165
55.0,0.9166666666666666,0.000280165
60.0,0.9166666666666666,0.000280165
65.0,0.9166666666666666,0.000280165
70.0,0.9166666666666666,0.000280165
75.0,0.9166666666666666,0.000280165
80.0,0.9166666666666666,0.000280165
85.0,0.9166666666666666,0.000280165
90.0,0.9166666666666666,0.000280165
95.0,0.9166666666666666,0.000280165
100.0,0.9166666666666666,0.000280165
150.0,0.9,9.545666666666666e-05
200.0,0.9,9.545666666666666e-05
250.0,0.9,9.545666666666666e-05
300.0,0.9,9.545666666666666e-05
350.0,0.9,2.349666666666667e-05
400.0,0.9,2.349666666666667e-05
450.0,0.9,2.349666666666667e-05
500.0,0.9,2.349666666666667e-05
550.0,0.9,2.349666666666667e-05
600.0,0.9,2.349666666666667e-05
650.0,0.9,2.349666666666667e-05
700.0,0.9,2.349666666666667e-05
750.0,0.9,2.349666666666667e-05
800.0,0.9,2.349666666666667e-05
850.0,0.9,2.349666666666667e-05
900.0,0.9,2.349666666666667e-05
950.0,0.9,2.349666666666667e-05
1000.0,0.9,2.349666666666667e-05
